classes,fpr,tpr,auc
True,0.0,0.0,0.997808619430241
True,0.0,0.013513513513513514,0.997808619430241
True,0.0,0.9324324324324325,0.997808619430241
True,0.013513513513513514,0.9324324324324325,0.997808619430241
True,0.013513513513513514,0.9594594594594594,0.997808619430241
True,0.02702702702702703,0.9594594594594594,0.997808619430241
True,0.02702702702702703,0.972972972972973,0.997808619430241
True,0.05405405405405406,0.972972972972973,0.997808619430241
True,0.05405405405405406,1.0,0.997808619430241
True,1.0,1.0,0.997808619430241
